Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort,Median of Three Tail Quick Sort,Hybrid Tail Recursive Median of Three Quick Sort
38000,353374.940000,3623.430000,2687.410000,2510.780000,2466.970000,2525.870000,3520.810000,2461.120000,2430.340000
39000,372175.360000,3733.450000,2787.820000,2581.930000,2531.980000,2595.050000,3624.890000,2525.320000,2492.810000
40000,391795.000000,3825.490000,2884.950000,2658.480000,2605.720000,2676.810000,3724.160000,2588.310000,2566.570000
41000,411466.370000,3914.750000,2990.330000,2730.290000,2677.800000,2741.130000,3829.890000,2672.450000,2637.910000
42000,431874.200000,4028.140000,3093.850000,2796.810000,2748.820000,2815.830000,3932.880000,2742.400000,2708.300000
43000,452692.240000,4146.880000,3192.220000,2873.450000,2821.000000,2888.680000,4040.030000,2814.780000,2776.860000
44000,473811.740000,4231.970000,3295.980000,2945.610000,2885.630000,2957.710000,4137.790000,2879.910000,2838.490000
45000,495515.000000,4317.970000,3402.620000,3018.920000,2959.390000,3034.680000,4245.410000,2952.700000,2913.640000
46000,517883.350000,4437.090000,3512.950000,3088.190000,3025.760000,3098.310000,4346.330000,3018.530000,2977.390000
47000,540934.250000,4549.390000,3622.570000,3175.560000,3100.280000,3187.270000,4460.950000,3093.070000,3052.460000
48000,563999.290000,4644.000000,3734.170000,3246.990000,3172.260000,3251.590000,4564.700000,3164.850000,3125.350000
49000,587798.800000,4729.730000,3843.530000,3317.250000,3247.100000,3340.480000,4666.380000,3238.230000,3198.330000
50000,612055.320000,4863.080000,3960.670000,3385.470000,3318.450000,3400.090000,4776.600000,3311.290000,3264.050000
51000,636491.750000,4986.320000,4071.260000,3454.340000,3389.550000,3468.400000,4872.590000,3381.360000,3335.450000
52000,661453.570000,5071.580000,3461.310000,3533.660000,3463.200000,3545.030000,4977.190000,3461.060000,3409.940000
53000,687488.120000,5138.610000,3544.860000,3602.090000,3529.910000,3617.470000,5091.590000,3521.290000,3473.510000
54000,714041.300000,5294.960000,3633.080000,3675.600000,3603.910000,3695.450000,5195.110000,3779.340000,3758.170000
55000,740827.130000,5388.310000,3718.330000,3755.720000,3678.720000,3772.070000,5300.690000,3668.910000,3620.600000
56000,767404.390000,5475.400000,3806.300000,3834.710000,3745.510000,3860.050000,5406.440000,3737.030000,3688.560000
57000,795065.000000,5546.140000,3892.250000,3909.720000,3827.120000,3932.130000,5512.010000,3815.680000,3774.640000
58000,823526.830000,5660.760000,3983.250000,3983.020000,3898.710000,4000.730000,5630.560000,3881.880000,3832.550000
59000,851765.350000,5789.650000,4070.180000,4052.100000,3970.700000,4070.060000,5734.850000,3960.850000,3911.020000
60000,881402.630000,5891.580000,4166.050000,4132.730000,4047.120000,4149.540000,5847.140000,4038.180000,3985.030000
61000,910924.750000,5975.380000,4253.500000,4200.970000,4115.460000,4225.340000,5950.470000,4106.080000,4054.390000
62000,940620.700000,6077.830000,4344.080000,4278.250000,4188.520000,4300.790000,6051.910000,4177.290000,4128.360000
63000,970751.370000,6202.210000,4434.470000,4355.190000,4255.850000,4376.390000,6168.990000,4245.770000,4189.800000
64000,1002752.750000,6290.470000,4531.280000,4435.630000,4334.480000,4455.300000,6274.600000,4325.550000,4269.390000
65000,1033794.130000,6383.290000,4621.100000,4509.900000,4407.570000,4528.480000,6389.870000,4396.400000,4341.340000
66000,1065781.670000,6439.120000,4667.680000,4574.270000,4481.130000,4603.310000,6501.610000,4468.850000,4411.380000
67000,1098356.220000,6615.410000,4817.230000,4660.010000,4552.920000,4689.660000,6616.680000,4544.590000,4487.830000
68000,1131525.450000,6721.600000,4913.830000,4729.530000,4622.500000,4743.860000,6715.510000,4612.440000,4552.540000
69000,1165050.650000,6818.280000,5010.170000,4804.970000,4695.970000,4830.410000,6825.970000,4686.610000,4625.420000
70000,1199171.600000,6923.110000,5110.880000,4886.370000,4784.790000,4913.330000,6939.750000,4773.680000,4715.450000
71000,1233723.180000,7054.840000,5203.070000,4948.360000,4841.770000,4976.840000,7038.070000,4829.800000,4767.760000
72000,1268454.660000,7144.110000,5310.270000,5023.050000,4921.540000,5051.100000,7151.640000,4911.140000,4852.010000
73000,1304202.840000,7237.870000,5408.730000,5115.530000,4996.850000,5139.600000,7265.360000,4985.550000,4923.030000
74000,1339826.170000,7326.130000,5504.510000,5195.610000,5067.740000,5214.500000,7365.830000,5056.530000,4991.670000
75000,1377099.870000,7454.320000,5600.900000,5267.720000,5147.870000,5289.000000,7482.150000,5135.550000,5068.130000
76000,1413180.320000,7570.540000,5704.740000,5335.830000,5217.990000,5371.170000,7602.590000,5205.920000,5139.080000
77000,1450269.720000,7657.720000,5807.530000,5406.410000,5292.790000,5434.750000,7709.510000,5283.360000,5216.180000
78000,1489311.400000,7750.790000,5911.870000,5492.090000,5362.880000,5520.510000,7811.530000,5351.240000,5285.990000
79000,1527277.890000,7870.590000,6013.130000,5566.640000,5440.720000,5605.250000,7916.040000,5428.570000,5364.060000
80000,1566303.500000,7973.200000,6121.630000,5655.770000,5513.160000,5682.620000,8033.770000,5499.450000,5433.370000
81000,1604780.560000,8060.850000,6224.830000,5722.910000,5587.130000,5745.210000,8138.840000,5572.590000,5501.160000
82000,1646061.230000,8146.980000,6334.730000,5808.430000,5660.570000,5839.220000,8262.820000,5648.600000,5576.750000
83000,1685186.150000,8280.010000,6433.730000,5882.260000,5739.170000,5903.580000,8368.740000,5726.150000,5652.020000
84000,1726485.320000,8396.710000,6543.200000,5943.860000,5811.110000,5971.590000,8484.300000,5796.130000,5725.290000
85000,1768368.570000,8487.920000,6651.040000,6040.980000,5898.740000,6070.840000,8591.430000,5882.960000,5812.270000
86000,1809590.200000,8578.150000,6754.640000,6108.790000,5973.140000,6148.640000,8700.070000,5958.550000,5887.750000
87000,1851802.450000,8714.110000,6866.260000,6169.570000,6036.900000,6214.130000,8817.740000,6024.090000,5949.690000
88000,1895215.260000,8835.170000,6970.410000,6268.880000,6106.970000,6296.050000,8932.620000,6091.590000,6021.610000
89000,1938444.080000,8920.680000,7086.950000,6329.430000,6179.500000,6354.960000,9052.520000,6166.830000,6087.910000
90000,1982750.210000,8997.270000,7196.120000,6409.330000,6256.780000,6448.700000,9164.970000,6240.610000,6162.700000
91000,2027123.290000,9132.170000,7316.350000,6499.930000,6339.470000,6535.460000,9279.610000,6326.010000,6246.530000
92000,2069940.370000,9257.100000,7418.860000,6562.770000,6416.670000,6600.560000,9389.830000,6400.100000,6325.800000
93000,2116086.450000,9345.620000,7535.960000,6642.510000,6479.260000,6678.060000,9506.420000,6467.000000,6378.720000
94000,2162350.340000,9422.500000,7649.650000,6721.390000,6565.380000,6756.870000,9607.410000,6550.930000,6469.300000
95000,2208599.050000,9543.040000,7765.270000,6806.660000,6642.080000,6839.630000,9727.920000,6623.700000,6545.670000
96000,2255305.680000,9668.460000,7876.750000,6887.510000,6712.800000,6924.330000,9835.670000,6697.270000,6615.370000
97000,2302680.020000,9769.520000,7987.960000,6961.860000,6790.810000,6993.980000,9954.780000,6776.270000,6691.990000
98000,2349426.080000,9844.980000,8111.150000,7039.450000,6858.400000,7069.830000,10073.860000,6842.570000,6755.010000
99000,2398323.660000,9975.980000,8233.180000,7108.850000,6944.910000,7150.110000,10182.420000,6928.550000,6850.890000
