Dimension: array length (n),Time (clock)
624,39.140000
625,38.580000
626,39.010000
627,39.840000
628,39.240000
629,38.670000
630,39.010000
631,39.350000
632,39.210000
633,39.670000
634,39.790000
635,38.990000
636,39.920000
637,39.320000
638,39.370000
639,39.030000
640,39.180000
641,39.930000
642,40.270000
643,40.510000
644,40.430000
645,40.530000
646,40.750000
647,40.650000
648,40.750000
649,40.910000
650,40.900000
651,41.010000
652,41.090000
653,41.130000
654,41.070000
655,41.120000
656,41.270000
657,41.470000
658,41.510000
659,41.560000
660,41.630000
661,41.780000
662,41.750000
663,41.890000
664,41.960000
665,41.950000
666,42.080000
667,42.170000
668,42.270000
669,42.200000
670,42.310000
671,42.360000
672,42.450000
673,42.510000
674,42.680000
675,42.660000
676,42.720000
677,42.670000
678,42.790000
679,42.490000
680,41.830000
681,41.980000
682,42.110000
683,42.140000
684,42.280000
685,42.280000
686,42.300000
687,42.370000
688,42.540000
689,42.490000
690,42.600000
691,42.760000
692,42.740000
693,42.940000
694,43.240000
695,42.940000
696,43.010000
697,43.110000
698,43.180000
699,44.130000
700,44.400000
701,44.320000
702,44.280000
703,44.390000
704,44.500000
705,44.720000
706,44.650000
707,44.820000
708,45.250000
709,45.060000
710,44.930000
711,45.110000
712,45.270000
713,45.400000
714,45.290000
715,45.540000
716,45.590000
717,45.660000
718,45.720000
719,45.860000
720,45.770000
721,45.990000
722,45.980000
723,46.000000
724,46.590000
725,46.210000
726,46.270000
727,46.330000
728,46.480000
729,46.590000
730,46.470000
731,46.560000
732,46.770000
733,46.750000
734,46.830000
735,46.880000
736,46.890000
737,47.070000
738,47.130000
739,46.140000
740,46.010000
741,46.310000
742,46.200000
743,46.270000
744,46.320000
745,46.370000
746,46.360000
747,46.540000
748,46.610000
749,46.620000
750,46.990000
751,46.840000
752,46.840000
753,46.870000
754,47.420000
755,47.290000
756,47.440000
757,48.230000
758,48.300000
759,48.390000
760,48.460000
761,48.600000
762,48.690000
763,49.030000
764,48.540000
765,48.790000
766,48.710000
767,48.770000
768,48.940000
769,48.980000
770,49.190000
771,49.230000
772,49.420000
773,49.350000
774,49.650000
775,49.640000
776,49.670000
777,49.790000
778,49.920000
779,49.880000
780,50.040000
781,50.170000
782,50.260000
783,50.450000
784,50.320000
785,52.230000
786,53.060000
787,50.970000
788,51.460000
789,50.820000
790,51.020000
791,51.030000
792,51.080000
793,51.070000
794,51.460000
795,51.370000
796,51.530000
797,51.620000
798,51.460000
799,51.550000
800,51.630000
801,51.750000
802,51.750000
803,51.760000
804,51.990000
805,51.910000
806,51.930000
807,51.980000
808,54.640000
809,51.110000
810,51.650000
811,51.920000
812,51.370000
813,51.710000
814,52.370000
815,52.140000
816,51.720000
817,51.800000
818,51.490000
819,51.570000
820,51.620000
821,51.820000
822,52.910000
823,52.950000
824,53.070000
825,53.040000
826,53.060000
827,53.140000
828,53.200000
829,53.150000
830,53.210000
831,53.310000
832,53.350000
833,53.460000
834,53.640000
835,53.590000
836,53.780000
837,53.850000
838,53.920000
839,53.880000
840,54.140000
841,54.240000
842,54.310000
843,54.450000
844,54.730000
845,54.690000
846,54.810000
847,54.990000
848,55.040000
849,54.810000
850,53.720000
851,55.740000
852,53.890000
853,54.030000
854,54.040000
855,54.270000
856,54.310000
857,54.380000
858,54.270000
859,54.400000
860,54.470000
861,54.710000
862,54.700000
863,54.700000
864,55.880000
865,56.020000
866,56.270000
