Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
156,3.410000,9.330000,7.280000,5.240000,5.150000,5.160000,7.180000
157,3.180000,8.850000,7.210000,5.930000,5.150000,5.310000,7.300000
158,3.160000,9.180000,7.520000,5.290000,5.150000,5.350000,7.310000
159,3.410000,9.020000,7.450000,5.670000,5.180000,5.300000,7.270000
160,3.240000,9.430000,7.630000,6.160000,5.220000,5.390000,7.400000
161,3.240000,9.110000,7.490000,5.380000,5.180000,5.480000,7.720000
162,3.330000,9.690000,7.710000,5.410000,5.330000,5.440000,7.420000
163,3.460000,9.320000,8.790000,5.540000,5.270000,5.520000,7.520000
164,3.330000,9.540000,7.920000,6.880000,8.000000,7.010000,9.030000
165,3.390000,10.100000,9.450000,5.560000,5.320000,5.650000,7.730000
166,3.400000,10.220000,8.480000,6.160000,6.420000,5.610000,7.580000
167,3.590000,9.500000,8.080000,6.790000,6.940000,7.440000,10.230000
168,4.860000,9.740000,8.180000,5.590000,5.470000,7.310000,7.770000
169,3.530000,9.540000,8.660000,5.770000,5.450000,5.630000,8.420000
170,4.400000,10.960000,8.360000,5.600000,5.780000,5.710000,7.960000
171,3.830000,11.130000,8.550000,6.240000,5.560000,6.160000,8.030000
172,3.690000,9.810000,9.590000,5.820000,5.700000,6.370000,8.020000
173,4.150000,9.820000,8.650000,5.880000,5.600000,5.880000,8.020000
174,3.680000,10.600000,8.700000,5.830000,5.710000,5.940000,8.910000
175,3.650000,9.970000,8.870000,5.930000,6.220000,5.960000,8.170000
176,4.080000,9.990000,8.840000,5.980000,6.290000,6.020000,8.650000
177,3.820000,10.400000,8.960000,5.980000,5.860000,5.990000,8.280000
178,3.900000,10.200000,10.120000,6.030000,5.850000,6.020000,8.610000
179,3.830000,10.410000,9.200000,6.520000,5.890000,6.450000,8.360000
180,3.910000,10.480000,9.620000,6.210000,5.880000,6.390000,8.520000
181,4.250000,10.320000,9.880000,6.360000,5.960000,6.230000,8.870000
